inscription_id,meta_name,meta_trait,high_res_img_url,collection_page_img_url
2e508c32668563f57e49ff7830ecbdf0c42358bd19e649c8ef0478d6e3ab8df6i0,100055.bitnats,0x11,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0x11.png,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0.png
1af09c6a9a2a80895cd6666cfe83bca54f8b186aed8f2ef0e3764fce017eaadbi0,100056.bitnats,0x11,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0x11.png,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0.png
3e797f652b0a2f66dc155ec7255b847df4225af4c79660ef5f6f3320ef69d276i0,100057.bitnats,0x11,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0x11.png,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0.png
6cf5e18ab1f0712a33d692616b515b4e3d4905d39a8de9ae8950e465eddccabai0,100058.bitnats,0x11,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0x11.png,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0.png
ad7ccf7dff1212c5834c0374252462fcb87017ec3f6061e699fbe8c93c30b21bi0,100059.bitnats,0x12,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0x12.png,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0.png
9b1872d3e2851d1e9884745b75aea9b6b3a1c919d4df2e30c48927faffc321f0i0,100060.bitnats,0x11,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0x11.png,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0.png
4ffb4c60b77ffd084bc142257bb9cbba5bac281ba0bc0da7d415761dfc8e4b33i0,100061.bitnats,0x11,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0x11.png,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0.png
8830193b0d6f8692e0bae03d598d469c66ff19cc68802fba4a4d42259a037065i0,100062.bitnats,0x11,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0x11.png,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0.png
2dbfeacbbf9277aa640829a3afdc80757b59ce2cad98f977b2bc63299f220907i0,100063.bitnats,0x11,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0x11.png,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0.png
4ec4ad76459c920397b0d591ac635431a366774bbc2bd6a57fb7b60702ad4421i0,100064.bitnats,0x11,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0x11.png,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0.png
ab1ce8c9c4321aadf7c42bfa3d1a832626546a3c9fc926d0b044bc5aebafc7aci0,100065.bitnats,0x12,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0x12.png,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0.png
0f60a07635ef3ebb614287d20136519c283d687f22b2be099d4f203bf5cd6402i0,100066.bitnats,0x11,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0x11.png,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0.png
32ea8eae78a34471b3fcaf643dea6daab5f795bcddc36997cdbd3083c8ae3e17i0,100067.bitnats,0x11,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0x11.png,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0.png
53efb356116900d08237aa4eb92f5324ca18bb021fc14debd959d7d164b4bb29i0,100068.bitnats,0x11,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0x11.png,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0.png
81e1f95acc4cf631399f957e88cd312008ab7fd05e64317d78e578d553b2cee4i0,100069.bitnats,0x11,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0x11.png,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0.png
e66051654a865878128f0ff9e4ce1bc607a8377487ad734abcc475e78d9356f1i0,100070.bitnats,0x11,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0x11.png,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0.png
c58624ddbf7b74ab4f5b2255460125b2e6c02fd7181edbda893de0cafcccc9edi0,100071.bitnats,0x12,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0x12.png,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0.png
